Date,Global_Factor_filtered,Facilitating_filtered,Other_filtered,Restrictive_filtered,Remaining_others_filtered,G20_filtered,Non_G20_filtered,GDP_weighted_filtered
Dec 2018,0.334741107336226,0.0455967351323553,0.445971927639401,-0.984010243887668,0.487006119906521,0.622136113993632,-0.445777040343861,0.672928968369308
Jan 2019,-0.0119543991050242,-0.378037940042799,0.186041050109414,-1.26730648357096,0.567176067928303,0.307124643618516,-0.595807090842698,0.802958604266548
Feb 2019,-0.459893336135682,-0.780819266439507,-0.229063168384814,-1.73297577501225,0.412755355782837,0.0022999761907671,-1.22435622154293,0.1379303198445
Mar 2019,-1.01015651738343,-1.23891590474625,-0.60590539805003,-2.00879298548988,0.0168848457484199,-0.404737469890515,-1.81323210920805,0.0079616585224872
Apr 2019,-1.48046173492787,-1.58469219203572,-0.896782620721018,-1.97887310758143,-0.318226910868124,-0.680006713476423,-1.99276759984434,-0.302532354678148
May 2019,-1.24781014831301,-1.49249285309426,-0.657740107032044,-1.55771762750121,-0.289151755023498,-0.393400099882483,-1.8477794951024,0.124219448348007
Jun 2019,-0.85789745418868,-1.12218022985944,-0.410825001963516,-1.34947512562321,-0.048109177445743,0.017164627486971,-1.829551837116,0.300821174919358
Jul 2019,-0.151044921276605,-0.598932303422115,0.0339155281282476,-1.14442178092974,0.321370585641155,0.626362646696051,-1.6874249178011,0.970526385307226
Aug 2019,-0.0934878765879388,-0.526264682424608,0.161005059332825,-1.0857273257782,0.446430825891078,0.674545554052764,-1.80914759062177,0.978957052520694
Sep 2019,0.0457961231699227,-0.572436864575469,0.261705090524895,-1.11583683169491,0.539324863098007,0.686107634625438,-1.69445039306571,0.983025795062812
Oct 2019,-0.535981173790688,-1.0203599314417,-0.059047297635697,-1.6134905029544,0.161451390575947,-0.0288861600233883,-1.97261429230598,0.0636746363236695
Nov 2019,-0.597668529595373,-1.16925630082201,-0.119329800793107,-1.80187196898369,0.00637814939704324,-0.0855205373528435,-1.96087506858362,-0.0062167493811595
Dec 2019,-0.551829149924046,-1.03775715763761,-0.163282332219666,-1.58265166880063,-0.222658695461395,-0.0714747254239499,-1.52022656933099,0.168978196777646
Jan 2020,-0.434979509843922,-0.7246389793971,-0.14611573866308,-1.00378331954088,-0.15197316727892,0.322035330958443,-1.25739884955384,0.680651599221224
Feb 2020,-0.336586710788661,-0.119342472336216,-0.31902280777526,-0.821231129649335,-0.176078008587848,0.0913417851330518,-0.621728485427282,0.480795384113051
Mar 2020,0.275051933045591,0.746191329371332,0.0401477700209748,-0.456429224896815,0.287642797537222,0.307930410518484,0.177535594657462,0.624269319696662
Apr 2020,1.27486368939572,1.6253057263066,0.667165761715952,-0.0557973834073907,0.93812589352662,0.78923661990188,1.24863229087256,0.734015890091291
May 2020,1.43217144766161,1.51897328580665,1.15375874223417,0.237095225195454,1.34031132208483,1.16937814134226,1.41284961814334,1.12463666772541
Jun 2020,1.08506520333269,0.997768443308321,1.11562680610398,0.206813490258993,1.30187586351017,1.08198293910883,1.16158145556138,0.763859273712152
Jul 2020,0.748633812341194,0.709697223114766,0.87934952022258,0.124686158796425,1.15296898149113,0.900363172804543,0.945454615308904,0.617660380172576
Aug 2020,0.847948056968863,0.926548975519642,0.767071504313043,0.137382940556122,1.29929079988592,0.773169410517725,1.14194484324018,0.380500244967993
Sep 2020,1.01033264516294,1.25002595697983,0.841383585830332,0.00123185457426977,1.58977214012705,0.865870535910733,1.21748925797386,0.74601573804821
Oct 2020,1.22867010985421,1.49970414261122,0.98584199717793,-0.195150249816433,1.41546026745803,1.0794596157312,0.843183608741259,1.03050473052555
Nov 2020,1.18786430531268,1.56194462331252,0.881539426344263,-0.35277815230768,1.12311331944676,1.08677768526121,0.582267063018908,1.20607951606587
Dec 2020,1.04723610644946,1.24523634892084,0.880190560651614,-0.387641103749201,1.14828261870194,0.812028641874631,0.662342152985432,0.934402874371228
Jan 2021,0.667502960713246,0.709410493695631,0.766688407741727,-0.420234343416495,1.42543230182329,0.406419391108465,0.994584258505049,0.542272640686233
Feb 2021,0.802173217170691,0.535469692592047,0.808220908230164,-0.408588245884558,1.61513991726262,0.546670910738147,1.06957491034456,0.486714882787737
Mar 2021,0.630461786952928,0.392370541339101,0.539560303815151,-0.463173749274873,1.39873302896007,0.567300115445122,0.890695159645002,0.382814790151715
Apr 2021,0.541585920531931,0.207086241204712,0.472141020775657,-0.395406752193887,1.3235464133452,0.561782919328899,0.731382860047461,0.520721537689441
May 2021,0.169978874589526,-0.19439279646547,0.322303539994374,-0.550705034624566,1.30362876242789,0.254691862135356,0.638951228412505,0.252791839188063
Jun 2021,0.445384613178988,-0.431971454988866,0.51052799258475,-0.849643972027061,1.54031253310313,0.565977446253626,0.572625559252286,0.52887003631358
Jul 2021,-0.196249698041818,-1.02589047819922,-0.279382221338417,-1.62756626950288,1.22826674053114,-0.0399988879755619,0.355104628062466,-0.0069048438365132
Aug 2021,-1.34841787704351,-2.13858031309245,-1.28490462922121,-2.10376268324156,0.703424661460724,-0.986771343561237,-0.348648534032455,-0.241725840645351
Sep 2021,-3.05276299139661,-3.16571011801918,-3.05161530025641,-2.62752509240367,-0.192148451154953,-2.55743799067933,-0.748963111953038,-1.41822049787562
Oct 2021,-4.96372066419581,-3.77559594172864,-4.87148416692394,-2.99982950213258,-0.0504120600730716,-4.0647987871447,-0.547702725278546,-2.31434765392236
Nov 2021,-3.73653466927677,-2.78631317706671,-4.08611476117888,-2.2845013697402,0.638849747027068,-3.07884960760742,0.584127472194288,-1.67393426363629
Dec 2021,-2.22982890439143,-1.55295377567889,-2.42775625549077,-1.15990074921212,1.34153622839621,-1.7331825831614,1.33564728002798,-0.7230586036421
Jan 2022,0.431196854122173,-0.0822814765073912,0.249048182290112,0.531880572478147,1.38118553692183,0.536159015057676,1.5603185932991,0.793903691430819
Feb 2022,0.940952383638841,0.648839505705467,1.04542163471832,1.46700802949662,1.16033764988329,0.882793492314154,1.67577030372718,0.974232457033313
Mar 2022,1.58566679157039,1.23166923829518,1.7661659794281,2.42489199638738,1.24951007954156,1.24433241842811,2.19092366045385,1.09382355606593
Apr 2022,1.84138654756185,1.64382996490121,2.01449887052317,2.85884206427853,1.3739099685205,1.46657489396966,2.47587493632273,1.26093330668455
May 2022,1.73525203352159,1.91576416965941,1.71270725321306,2.70423544366572,1.3445031712098,1.32482099062933,2.5535790467407,0.900971907157701
Jun 2022,1.47504729149768,2.16324071296724,1.18275330122515,2.32624828750454,1.15532622052459,1.07028722594118,2.27716393368273,0.73689848813322
Jul 2022,1.53725701095455,2.42021225588893,1.04563614894281,2.27659222430448,1.16636153268667,1.02915612191061,2.30831316597002,0.431978433813642
Aug 2022,1.80078144214951,2.53426192574053,1.42718484722373,2.44041006885823,1.51106880007843,1.36746520327747,2.1971977728617,0.58701840240168
Sep 2022,1.93355238649624,2.5346742087786,1.78197898386501,2.64700083011782,1.87493437163241,1.67191367362077,2.0240303356092,0.842573722863106
Oct 2022,2.38009340477249,2.52283805886412,2.37993075027291,2.98661154874866,2.14030018635485,2.07857161450482,2.02479216909044,1.50306137645681
Nov 2022,2.33659201562891,2.37600416991865,2.43029778453036,3.08600184520333,2.3006943988454,2.09958166512554,2.10384765347563,1.73012123212082
Dec 2022,2.25882715022384,2.11020300884111,2.42535454341736,3.1804835584509,2.39403015325606,2.06344309304192,2.23496692668439,1.69456249647151
Jan 2023,1.92074236577873,1.79730991471864,2.18035773542112,3.0888631661849,2.44878168212609,1.87950271459314,2.18946675534704,1.15830135386237
Feb 2023,1.81476777995609,1.59479353767263,2.09257849983912,3.08715883139258,2.41733695725892,1.81557111997097,2.02803433131352,1.09337030013937
Mar 2023,1.67697917474606,1.41425529194221,1.82703002992352,2.86779497766343,2.32276012936681,1.74248040963749,1.65940128160392,0.84575391654825
Apr 2023,1.22920568175242,1.1398972894829,1.38228680776293,2.49152396037911,2.22710729233715,1.27685818415269,1.32390675139615,0.681900268751468
May 2023,1.19287018113245,1.01107700716612,1.22861398846813,2.36528096798441,2.10136148238837,1.27088248968797,1.00731799321846,0.659006256739648
Jun 2023,1.13356193932342,0.888887629514823,1.35633425058642,2.49417440419163,2.04268896032038,1.18568277925052,0.873285062934157,0.941457040211833
Jul 2023,1.17057775485744,0.879573786277224,1.49709294496602,2.67169478110191,2.04970927811759,1.37615539987023,0.652485344380307,0.978532708234896
Aug 2023,1.15465815391303,0.978495903013029,1.54281958805641,2.87471321149705,1.98866662663432,1.37120819489929,0.569549810715556,0.83449053192071
Sep 2023,1.19947904176902,1.1253539603968,1.61546592803448,2.91219813799662,1.92369620844472,1.58936727683205,0.201807412416417,0.729947669018122
Oct 2023,1.23235047066814,1.29816503659499,1.57365240816139,2.67972733923173,1.85966668522053,1.69258268486279,-0.15959832337324,0.943602095594421
Nov 2023,1.37795277380582,1.41518631043599,1.70884053287043,2.5294160348513,2.04394178951502,1.95400682336447,-0.212160539213009,1.15236613657365
Dec 2023,1.64153781019292,1.57231070411703,1.95186939081301,2.71438038197491,2.25570636417999,2.18590854219327,0.236856068688726,1.686107870884
Jan 2024,2.01758023955378,1.74221381919165,2.21852239368555,3.00138442924014,2.46902477065785,2.40438569893565,0.84861225524641,1.94719264169006
Feb 2024,1.77744918034707,1.66031276913991,2.01768085400212,2.88078214058471,2.55479764150783,2.10290115948362,0.886276828681286,1.87631235864202
Mar 2024,1.4709027125592,1.49339173757593,1.67130417360922,2.56360095864528,2.66957467520817,1.77568070610319,0.834161818422337,1.6717865015351
Apr 2024,1.28330873163594,1.3882736683647,1.50401431354313,2.50195948878728,2.81248605692179,1.74332879762347,0.637170315906995,1.58939501087472
May 2024,1.35979384563345,1.28303213251979,1.69136487361363,2.76934000656666,3.01799008075118,1.86800536136402,0.647659626140073,1.3823713806548
Jun 2024,1.56454146938725,1.35659751197786,1.85664195224055,2.93904062442884,3.23620925046409,2.1804856813042,0.502805274060945,1.35548939451193
Jul 2024,1.78462291277843,1.34748799071795,2.12678708725223,3.16201671398342,3.4653627983253,2.31055361891305,0.725957102554471,1.48684405422696
Aug 2024,1.74690890050673,1.36936912402212,2.00149658924763,3.24057267603712,3.32355711143681,2.1853411203913,0.782230509927179,1.49336459198302
Sep 2024,1.65090890381394,1.24719537504746,1.96087054733553,3.36564923272175,3.18225671507627,1.91263179884052,0.753980577332143,1.54670118896107
Oct 2024,1.95857539263891,1.30130028500889,2.19314675542894,3.46595969806481,3.16824824935332,2.07148966633991,0.835341352136551,1.69538382503074
Nov 2024,1.84843648139826,1.19706879325029,2.12892687712025,3.46763510688141,3.04713454513758,1.79924403497261,0.978198977864973,1.67157845289571
Dec 2024,1.78806165063066,1.14213440298434,2.14375047280771,3.62528901701113,2.88783542108129,1.78616161891347,1.19243976344116,1.62290939587839
Jan 2025,1.61639515795287,1.12363988384561,2.16194578797949,4.0899334852472,2.70897503563121,1.78419388827879,1.0654590414722,1.82015601568187
